R,G,B,Depth,NDVI
18.23486328,32.62890625,58.86743164,1.762372886,0.548612271
54.953125,63.95629883,59.90551758,1.284985657,0.374391888
92.44580078,101.1342773,96.83154297,1.191414607,0.529956222
96.39306641,103.0002441,98.57128906,1.374876042,0.467266014
51.36279297,50.66552734,102.9169922,1.247140928,0.575257858
54.05053711,55.79077148,83.76293945,1.28354303,0.644354719
41.86352539,50.17382813,47.11914063,1.427900947,0.632303953
63.79492188,72.51293945,68.77441406,1.218637021,0.377166185
84.04248047,93.72949219,89.81445313,1.214672421,0.530209823
78.46630859,86.30175781,80.75488281,1.369939762,0.464280664
49.39160156,47.5234375,102.4797363,1.232831846,0.577949776
50.76806641,50.46777344,80.70214844,1.310620668,0.645235198
44.91552734,53.4440918,48.2355957,1.415914374,0.632977758
52.28271484,77.31030273,100.9387207,1.11531768,0.126027883
93.52197266,118.9265137,113.5305176,1.095403861,0.167096446
65.04370117,82.24462891,95.23535156,1.14896441,0.3058017
73.46411133,89.87451172,82.76171875,1.205195858,0.470540487
57.16064453,81.18701172,108.9846191,1.123991264,0.124646674
96.58496094,121.6774902,116.7998047,1.092777396,0.166223989
67.16210938,84.14770508,101.1247559,1.185702937,0.30842567
73.10766602,91.56884766,84.62792969,1.18070196,0.467804704
50.9597168,70.34545898,65.68115234,1.434218574,0.603654834
90.45776367,103.5583496,98.07714844,1.374703434,0.619561358
106.4143066,118.5922852,113.7421875,1.283316223,0.512294288
52.28564453,59.83129883,95.57885742,1.475407052,0.635396667
112.3266602,118.6401367,114.7629395,1.321355043,0.694971124
146.1525879,147.1989746,145.8098145,1.156117731,0.603741461
43.68286133,64.75805664,59.04223633,1.42520539,0.616038204
75.75976563,91.04296875,85.98950195,1.443013496,0.682525599
126.5483398,133.029541,129.3178711,1.412249335,0.61356027
55.00854492,59.37426758,104.2512207,1.459179269,0.65778485
70.78759766,83.59472656,78.46777344,1.478033029,0.692565815
168.8840332,165.1506348,164.9123535,1.306134584,0.61602004
43.21069336,67.64599609,61.86279297,1.050558644,0.60337074
37.89624023,67.08349609,60.46044922,1.040674854,0.620528431
57.63208008,83.00805664,75.94262695,1.041415333,0.515424685
19.50244141,49.28344727,42.71411133,1.08896221,0.637036324
20.05517578,42.44458008,36.65258789,1.040887989,0.697014893
38.51269531,62.91577148,55.35913086,0.96050151,0.609980009
39.83544922,65.56835938,60.04443359,1.118015678,0.647195546
39.70361328,66.33691406,60.58496094,1.031750781,0.644542571
49.19799805,77.77734375,69.74755859,1.006528612,0.606198789
26.46191406,57.08959961,50.12475586,1.091217825,0.652940578
16.87890625,42.80932617,35.59204102,1.054028615,0.69209423
31.00170898,54.17382813,46.78857422,1.014370898,0.675375629
44.94262695,64.09594727,59.49951172,1.280172424,0.654054442
18.03540039,39.10961914,32.73803711,1.253038878,0.649976807
19.89257813,45.60791016,38.69775391,1.281220764,0.600897674
39.17700195,53.7590332,51.18261719,1.322906801,0.654167934
17.62719727,30.40991211,27.29882813,1.346603824,0.693260221
12.8112793,30.64135742,24.80664063,1.298925111,0.679112889
45.20507813,64.71191406,60.33081055,1.277959045,0.417474392
19.10302734,41.21118164,34.453125,1.226040341,0.524072561
21.25854492,48.00292969,40.35400391,1.273015441,0.614187133
41.55493164,56.15356445,53.38671875,1.326986635,0.657570929
16.85302734,29.79223633,26.5847168,1.340371402,0.705173972
13.19482422,30.03466797,24.34399414,1.311614808,0.674484976
47.43017578,75.42871094,68.80712891,1.244433653,0.470902324
61.44628906,90.3527832,87.16748047,1.177398493,0.555182632
53.28417969,84.1706543,80.46240234,1.16351568,0.623988565
47.15283203,76.51928711,70.00415039,1.255483214,0.561626684
62.25146484,91.42724609,88.28027344,1.206615536,0.574293842
53.05737305,83.92480469,79.78076172,1.20779327,0.497880968
78.12084961,99.54711914,96.11767578,1.00829497,0.559757846
86.30834961,97.65332031,91.55517578,0.987637254,0.533352029
70.11987305,87.23095703,80.54858398,1.126248345,0.507894095
74.47851563,82.53637695,77.53491211,1.067738332,0.624343258
67.14941406,88.17773438,83.80810547,0.749260289,0.66007217
42.82250977,56.43115234,52.36987305,1.137656548,0.49270063
80.19921875,101.9143066,98.79760742,1.063425343,0.192654632
82.1796875,91.62695313,84.62280273,1.064179006,0.375609081
73.71606445,91.49023438,85.57617188,1.141703668,0.310444354
74.53344727,84.44067383,79.76220703,1.002430712,0.568106524
64.4543457,84.40991211,80.03271484,0.884255657,0.54576588
41.99658203,55.65991211,52.07104492,1.15676983,0.295376464
62.9519043,84.80883789,79.03491211,0.869500285,0.203605403
53.40820313,81.89501953,76.04345703,1.313989809,0.414653977
84.49072266,101.8457031,97.12646484,1.944742036,0.17850532
33.19335938,63.93139648,57.57592773,1.165318903,0.560466054
22.41186523,50.69140625,43.80517578,1.36626154,0.540159454
26.22998047,52.43579102,46.37231445,1.481598703,0.285184
69.6003418,90.08422852,83.90991211,1.253691222,0.398698796
54.47705078,81.00097656,74.66210938,1.233746396,0.458805502
65.85498047,87.53930664,82.16674805,1.508860912,0.261480523
35.67895508,65.12451172,58.18286133,1.026896289,0.255020008
23.19995117,52.59765625,45.15893555,1.332236636,0.430431752
23.65673828,49.70825195,43.98364258,1.412495428,0.26801113
34.59375,67.40087891,79.28564453,0.982725388,0.582177675
53.81762695,78.79150391,102.9260254,0.897689252,0.740006498
64.0090332,95.42016602,94.68041992,0.853643351,0.59352054
39.5559082,73.13427734,87.97387695,0.974334763,0.372652693
56.45947266,80.51464844,112.4685059,0.871686565,0.47421544
70.54589844,100.9794922,103.5495605,0.849184855,0.275968549
132.3195801,141.7702637,142.2497559,1.408585516,0.537566848
116.190918,126.1787109,126.0703125,1.314647279,0.66693447
12.76123047,32.78881836,27.67260742,1.266833068,0.570808814
91.2644043,107.1079102,105.3681641,1.461056466,0.617566693
67.75463867,81.69921875,79.76660156,1.358028385,0.676545712
19.16064453,36.95849609,37.01660156,1.308629457,0.641525333
108.8063965,118.5209961,118.8549805,1.290428528,0.519121309
13.84912109,33.58227539,28.4987793,1.250618712,0.665602586
22.83422852,44.83789063,41.37255859,1.210844784,0.558343116
62.74560547,76.68554688,74.43701172,1.347373355,0.621388493
20.86914063,38.85473633,38.9543457,1.302445619,0.677523717
54.34814453,69.78417969,67.42431641,1.284586975,0.646700443
59.91113281,73.32568359,84.05273438,1.383978093,0.642275397
68.29199219,81.39746094,87.61376953,1.210004696,0.639083056
48.16650391,57.44091797,54.70336914,1.373175358,0.54658467
42.52026367,54.16455078,68.38208008,1.402274725,0.353619248
45.20849609,57.4765625,55.03295898,1.368026188,0.334405998
37.92138672,47.37133789,60.57104492,1.41805744,0.512718947
36.80664063,42.16918945,75.49511719,1.346119693,0.366466521
42.80493164,58.40771484,54.65844727,1.388326482,0.264841051
50.03564453,62.55810547,56.52734375,1.37530988,0.556281781
40.71484375,49.87524414,66.62329102,1.398946111,0.367765429
47.15600586,61.68603516,59.7109375,1.326372377,0.351503795
37.10986328,49.12182617,49.11987305,1.41983454,0.514889455
35.98876953,39.47143555,85.86572266,1.370952458,0.355508609
44.56982422,59.70800781,55.00268555,1.320774477,0.24651386
71.33618164,101.4528809,113.9724121,1.202905086,0.587851449
72.55981445,78.01586914,75.62719727,1.199430965,0.720752307
70.30029297,79.79052734,95.94165039,1.171594294,0.584074403
65.66064453,94.04882813,105.5800781,1.213123593,0.626799029
67.27026367,69.8605957,66.25512695,1.278352844,0.729714636
53.24707031,57.63232422,58.06835938,1.250932677,0.697482149
94.00268555,115.5544434,123.0070801,0.905369916,0.500892062
65.52758789,85.96313477,89.21069336,1.233389707,0.730514653
72.97387695,79.96411133,76.83959961,1.280176086,0.699061554
65.3293457,86.95043945,94.68237305,1.105000541,0.506492134
66.09643555,78.70678711,80.68481445,1.231644101,0.724214098
63.59399414,68.23901367,64.99829102,1.332347475,0.715107268
32.00341797,58.98779297,96.70507813,1.806492029,0.440607454
30.33251953,50.84130859,67.53417969,1.586358474,0.570740592
31.82470703,55.05541992,94.72924805,1.794285241,0.613001097
29.79589844,50.02856445,69.16625977,1.350345035,0.673819352
